name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,transfers_in,transfers_out,transfers_balance,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Lucas Tolentino Coelho de Lima,MID,West Ham,612,13,130,12,True,2025-11-30T14:05:00Z,59,229893,8152,21536,-13384,83,1,-1,0,0,0,2,0,0,1,0,1,0,0.01,0.02,0.03,0.90,8,1,7,0,0.0,6.9,1.0,0.6,0.0
Jorrel Hato,DEF,Chelsea,672,13,123,1,True,2025-11-30T16:30:00Z,47,21565,165,606,-441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Myles Peart-Harris,MID,Brentford,133,13,122,3,True,2025-11-29T15:00:00Z,44,4842,56,167,-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bashir Humphreys,DEF,Burnley,193,13,122,5,False,2025-11-29T15:00:00Z,40,8548,108,275,-167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Romain Faivre,MID,Bournemouth,92,13,128,17,False,2025-11-29T15:00:00Z,45,8910,0,187,-187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Enock Agyei,MID,Burnley,203,13,122,5,False,2025-11-29T15:00:00Z,48,5191,68,115,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Callum Bates,MID,Everton,306,13,125,15,True,2025-11-29T17:30:00Z,44,8792,129,311,-182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Harry Tyrer,GK,Everton,289,13,125,15,True,2025-11-29T17:30:00Z,39,15062,180,181,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Etienne Green,GK,Burnley,184,13,122,5,False,2025-11-29T15:00:00Z,40,26704,0,536,-536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Destiny Udogie,DEF,Spurs,574,13,129,10,True,2025-11-29T20:00:00Z,44,53134,1468,1263,205,84,1,0,0,0,0,2,0,0,1,1,0,0,0.08,0.04,0.12,0.45,5,4,2,1,14.8,23.3,7.0,4.5,0.0
Simon Moore,GK,Sunderland,529,13,128,4,True,2025-11-29T15:00:00Z,39,49357,555,629,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ben Winterburn,MID,Bournemouth,96,13,128,17,False,2025-11-29T15:00:00Z,45,4560,0,82,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
